Driver,Age,AnnualSalary
140,33,36055.25
141,52,31719.17
142,44,39086.3
143,51,33380.63
144,41,32254.41
145,49,33517.81
146,30,38680.88
147,39,34190.31
148,30,38506.95
149,28,32643.53
150,41,32055.16
151,59,34963.36
152,47,32267.37
153,51,32171.31
154,47,30390.32
155,54,39420.32
156,51,31788.65
157,25,33244.81
158,30,30979.59
159,32,37316.93
160,50,36509.49
161,33,32444.05
162,44,36705.4
163,60,31653.07
164,46,34856.2
165,45,38930.31
166,46,30200.75
167,43,38989.68
168,37,34888.77
169,31,38854.5
170,54,36566.42
171,32,35969.85
172,37,30517.53
173,44,37209.18
174,60,30920.9
175,46,37497.11
176,28,31481.55
177,48,30641.49
178,28,31970.09
179,28,32763.64
180,45,32229.77
181,43,30032.18
182,58,36505.07
183,30,31422.54
184,37,39039.38
185,54,37542.83
186,43,30619.72
187,39,33803.33
188,50,30154.63
189,26,37537.74
190,49,37284.67
191,57,30088.52
192,35,34539.56
193,48,37267.31
194,56,34816.23
195,37,32392.36
196,28,39198.12
197,59,36236.16
198,54,35687.29
199,50,37002.4
200,42,30292.71
201,47,32894.02
202,30,39134.68
203,32,38822.76
204,29,32402.45
205,58,33395.89
206,52,34080.51
207,52,37674.01
208,32,33880.57
209,49,30223.78
210,41,39011.03
211,38,36870.07
212,55,33295.26
213,41,32827.55
214,28,32004.56
215,57,30232.72
216,28,39419.46
217,60,34087.96
218,34,30968.9
219,49,38221.84
220,54,30262.6
221,51,33085.07
222,36,38820.26
223,35,38331.08
224,28,38594.09
225,37,37997.21
226,40,36337.55
227,54,35223.1
228,47,35085.24
229,31,31306.64
230,42,35919.62
231,52,36620.59
232,41,34445.09
233,58,30408.36
234,44,37200.42
235,57,30462.59
236,31,32552.32
237,54,36325.59
238,46,39939.35
239,47,33598.92
240,43,34808.82
241,36,31145.31
242,42,31812.56
243,29,38087.82
244,37,39103.4
245,42,31627.19
246,58,32901.44
247,27,33702.11
248,50,35250.69
249,44,35809.13
250,26,37928.28
251,44,31755.91
252,45,31980.54
253,46,31262.1
254,42,34037.52
255,57,39004.16
256,51,34051.52
257,49,33674.9
258,45,32579.09
259,43,38993.13
260,36,39265.74
261,51,36657.68
262,54,34939.37
263,27,36036.87
264,59,39493.22
265,60,31077.84
266,37,30355.74
267,54,39026.93
268,43,37372.93
269,38,38301.99
270,26,39174.82
271,55,35722.44
272,44,30938.81
273,48,32978.29
274,35,35457.47
275,32,31850.41
276,33,36690.59
277,55,34842.67
278,37,35036.79
279,45,33471.14
280,60,30784.34
281,34,31465.05
282,38,39385.52
283,29,36410.54
284,43,32121.89
285,44,32112.52
286,27,30569.81
287,39,36567.15
288,43,31469.47
289,46,36721.06
290,55,36563.81
291,41,39130.53
292,29,37341.44
293,31,34845.55
294,36,36519.44
295,56,34715.33
296,44,38438.03
297,51,33224.59
298,29,32744.43
299,54,38763.41
300,57,37874.19
301,51,38348.56
302,42,39565.83
303,26,32027.49
304,45,30349.23
305,50,31713.39
306,25,33752.88
307,28,37030.04
308,25,35162.87
309,40,36565.95
310,35,37549.55
311,42,31768.4
312,31,36064.12
313,46,38346.03
314,54,33470.67
315,33,37361.97
316,39,31794.88
317,53,38379.64
318,47,30889.18
319,43,34849.92
320,50,30517.38
321,29,31740.76
322,42,30282.15
323,35,36446.02
324,59,36716.62
325,49,39364.55
326,34,35667.95
327,36,32955.01
328,32,36985.82
329,31,32083.87
330,26,34214.93
331,53,38910.55
332,38,31390.08
333,37,34070.56
334,43,30954.87
335,29,34575.8
336,46,30112.65
337,51,35549.98
338,54,34661.91
339,39,32812.16
340,33,38291.86
341,26,31613.93
342,49,31987.76
343,51,31364.0
344,32,30980.43
345,55,34596.38
346,50,30903.61
347,56,39814.87
348,45,35080.24
349,55,32256.78
350,56,38116.22
351,31,36932.5
352,45,33304.93
353,38,32688.32
354,55,37750.03
355,32,34471.5
356,53,33829.85
357,53,31609.4
358,42,34698.38
359,39,31877.19
360,51,31798.15
361,60,33301.36
362,55,31464.47
363,43,39368.26
364,47,38119.67
365,43,32835.56
366,60,34320.38
367,40,36998.56
368,41,34658.22
369,54,38572.54
370,26,39714.54
371,37,35345.54
372,48,36598.47
373,33,38228.27
374,41,35535.79
375,56,39778.51
376,34,38234.07
377,46,37281.07
378,28,39778.34
379,53,30972.07
380,33,35177.38
381,33,32896.36
382,36,39452.59
383,26,35577.19
384,36,39482.52
385,60,32416.53
386,56,37690.9
387,46,32940.32
388,48,34699.02
389,25,36018.78
390,29,32256.24
391,25,38855.18
392,44,34032.65
393,55,39470.87
394,48,32759.33
395,48,39430.05
396,36,33133.95
397,41,32816.81
398,31,32428.82
399,45,31424.32
400,42,30450.57
401,46,36521.73
402,33,31824.11
403,37,35462.29
404,52,32046.39
405,30,33524.05
406,30,38785.61
407,26,32129.44
408,46,38370.03
409,56,34451.41
410,42,36959.39
411,60,30386.76
412,46,33139.96
413,33,31285.92
414,40,34581.24
415,52,38615.85
416,46,35435.39
417,28,38628.96
418,50,33918.04
419,57,37874.94
420,43,31205.41
421,47,33693.48
422,52,37765.38
423,39,30511.63
424,39,36855.32
425,42,37718.48
426,50,37236.53
427,56,31695.47
428,31,30041.4
429,57,39740.12
430,46,34853.63
431,52,31476.72
432,54,37386.67
433,55,36093.16
434,44,36574.03
435,49,36151.28
436,47,31292.07
437,56,36803.61
438,33,32228.02
439,33,36604.44
440,44,30856.68
441,47,38413.8
442,49,32040.3
443,43,30564.29
444,39,38271.2
445,36,31552.51
446,42,36526.05
447,50,39848.76
448,51,33269.64
449,27,30518.54
450,34,32316.86
451,47,34169.57
452,57,34882.94
453,53,35512.16
454,29,31598.85
455,40,34018.6
456,60,32330.03
457,29,33421.73
458,51,31641.64
459,57,39980.22
460,50,37270.39
461,29,31943.37
462,36,33176.43
463,51,38716.48
464,52,39988.18
465,51,39784.71
466,48,31352.72
467,29,39888.14
468,51,39907.55
469,32,38941.88
470,50,30909.05
471,38,34857.58
472,56,35740.04
473,59,30348.87
474,27,36802.21
475,54,32338.06
476,60,32147.48
477,41,36402.54
478,39,37812.37
479,32,35738.43
480,60,31287.06
481,42,32428.31
482,56,38105.86
483,33,30785.4
484,28,36282.64
485,32,31533.75
486,45,32686.32
487,38,33300.22
488,31,39653.4
489,48,33502.11
490,50,35166.99
491,45,35073.58
492,40,32934.45
493,52,35317.99
494,35,32808.47
495,44,30406.49
496,32,34506.71
497,55,37667.04
498,47,35464.95
499,26,38512.28
500,57,35031.95
501,45,34038.38
502,58,33427.91
503,58,35799.47
504,29,38992.46
505,53,34355.95
506,26,30209.35
507,45,39277.7
508,51,34681.66
509,48,38780.97
510,54,38434.32
511,51,32316.33
512,59,37476.56
513,34,35788.76
514,47,37188.48
515,30,36031.78
516,52,31598.94
517,59,38191.94
518,33,37464.05
519,54,35859.2
520,41,32118.85
521,49,36450.69
522,44,31713.83
523,38,36519.95
524,53,37583.98
525,25,36612.37
526,29,35753.39
527,32,30793.3
528,60,34939.7
529,51,33319.4
530,54,37456.85
531,44,36708.66
532,28,39413.89
533,31,33158.16
534,35,35391.57
535,42,39734.95
536,55,36558.24
537,40,32822.54
538,35,35349.4
539,52,31985.68
540,41,31390.64
541,53,39999.62
542,36,35668.28
543,40,38289.01
544,26,39378.71
545,51,31925.27
546,55,37471.44
547,39,34924.95
548,51,36261.58
549,59,31659.09
550,41,32863.14
551,41,30085.98
552,38,38653.74
553,38,35302.9
554,36,38661.93
555,35,33307.81
556,53,38268.0
557,49,33024.53
558,36,35785.4
559,50,31247.54
560,37,36395.6
561,26,31844.5
562,58,30174.39
563,34,34211.94
564,30,30941.79
565,36,38866.02
566,57,34948.66
567,34,30932.97
568,35,32648.98
569,46,35170.9
570,59,36118.65
571,52,36123.47
572,27,32968.21
573,45,39116.62
574,34,37151.55
575,51,38539.94
576,27,35244.88
577,37,38486.67
578,28,35582.67
579,28,32537.95
580,28,34365.74
581,47,34840.55
582,59,38720.42
583,52,39864.96
584,26,34588.86
585,40,33493.56
586,27,31776.59
587,28,39703.87
588,42,30241.44
589,48,33788.63
590,57,30279.12
591,30,33420.35
592,40,36529.67
593,42,30052.06
594,41,38924.33
595,50,37666.69
596,49,30257.39
597,30,30399.07
598,52,34247.31
599,49,36011.57
600,30,34780.45
601,33,37739.42
602,49,31483.18
603,40,37013.48
604,30,39436.64
605,41,35710.14
606,29,38256.83
607,53,33180.42
608,55,37591.45
609,44,36828.56
610,46,35210.4
611,45,30273.28
612,33,33343.71
613,59,36517.54
614,46,30421.81
615,39,38383.17
616,42,39756.17
617,57,39339.33
618,44,32480.99
619,43,38489.58
620,41,39005.56
621,38,37939.79
622,31,32451.83
623,42,33933.57
624,52,31873.01
625,29,36464.72
626,28,33246.61
627,34,32470.47
628,28,34261.33
629,36,31182.35
630,43,32963.03
631,38,32029.17
632,30,38057.98
633,49,32672.6
634,57,31659.95
635,29,39728.66
636,27,36572.27
637,57,34070.93
638,32,31860.88
639,59,30777.42
640,28,34364.55
641,45,36434.29
642,40,31215.45
643,26,36282.1
644,42,35082.37
645,45,30389.29
646,47,33204.39
647,30,35544.55
648,52,39290.51
649,49,39149.49
650,51,33574.23
651,59,36579.6
652,53,39053.85
653,54,39821.8
654,44,30938.65
655,60,36977.04
656,50,30065.98
657,60,38464.95
658,40,39196.28
659,45,31127.32
660,59,37699.71
661,53,32899.34
662,50,30641.41
663,33,33011.6
664,40,38864.66
665,49,33714.12
666,59,30888.06
667,41,33670.02
668,39,38758.0
669,34,30046.18
670,44,30827.58
671,35,38442.35
672,50,37106.59
673,48,30145.54
674,29,32440.1
675,40,35361.34
676,40,38258.03
677,46,34305.51
678,28,35976.12
679,60,34629.42
680,56,35808.6
681,48,38457.83
682,40,35738.73
683,58,32846.17
684,46,33596.63
685,31,36735.72
686,35,32716.32
687,28,36314.53
688,25,34862.38
689,49,38645.5
690,44,35415.17
691,50,35252.99
692,34,32533.43
693,53,33072.82
694,41,37056.85
695,48,33745.74
696,40,33236.53
697,44,39622.06
698,32,32964.97
699,45,38777.79
700,53,34733.01
701,56,31364.28
702,29,34743.7
703,27,39629.23
704,56,39570.63
705,50,36818.04
706,54,32025.83
707,33,36617.42
708,37,30392.11
709,35,30251.28
710,43,30012.91
711,58,31674.2
712,48,35024.81
713,40,30665.51
714,33,34448.03
715,43,39724.29
716,45,32299.93
717,59,35720.59
718,59,39745.49
719,31,33557.46
720,29,35792.12
721,28,35842.96
722,33,37017.61
723,44,39975.51
724,28,35267.83
725,47,33205.08
726,49,31344.08
727,30,39477.01
728,54,31071.65
729,25,31560.07
730,36,30135.66
731,58,38305.64
732,32,36135.58
733,27,37769.24
734,49,33725.44
735,49,31484.67
736,28,35983.53
737,27,39000.74
738,55,30774.23
739,60,37924.39
740,60,30229.51
741,52,30363.5
742,50,39033.48
743,45,38968.75
744,46,30469.66
745,55,37218.91
746,42,32583.51
747,34,36250.72
748,39,35611.61
749,54,37620.4
750,43,34043.22
751,55,32667.31
752,25,37942.84
753,39,32480.51
754,40,37900.48
755,47,35847.57
756,36,34469.89
757,39,30849.7
758,59,32598.99
759,39,30734.57
760,32,33090.93
761,33,32783.29
762,46,30103.71
763,48,30699.35
764,52,36809.71
765,55,37251.37
766,26,30156.3
767,51,37211.58
768,55,37648.36
769,43,34048.42
770,26,34870.38
771,33,38756.14
772,36,36727.02
773,55,37592.11
774,54,34302.92
775,35,32103.7
776,60,35287.76
777,57,39367.49
778,53,32035.43
779,45,39369.77
780,33,30747.78
781,27,32547.74
782,60,31620.5
783,44,33970.31
784,48,32789.3
785,43,35981.02
786,30,35734.82
787,41,36948.51
788,54,39861.79
789,56,34755.13
790,36,39520.11
791,25,34839.04
792,37,35714.04
793,39,32417.97
794,54,35760.37
795,49,37882.48
796,30,31019.85
797,27,36411.39
798,58,39200.53
799,54,34335.14
800,58,38998.22
801,41,31601.17
802,28,34650.27
803,27,31720.64
804,50,33802.26
805,48,36473.78
806,35,38456.14
807,44,32711.54
808,54,33284.27
809,54,39983.17
810,34,34746.21
811,54,36873.94
812,39,37837.95
813,26,39135.34
814,47,37544.9
815,60,33287.02
816,49,32565.66
817,54,39207.88
818,49,32447.07
819,32,35820.65
820,50,31757.76
821,36,39009.88
822,31,30283.6
823,38,37529.69
824,58,31542.88
825,42,34168.63
826,55,34108.06
827,41,37698.62
828,30,35267.48
829,50,30798.82
830,53,39896.33
831,28,35629.41
832,46,35617.52
833,46,30662.13
834,46,30460.22
835,49,35635.7
836,45,33901.84
837,27,33940.45
838,55,31599.54
839,48,32786.37
840,42,33336.91
841,47,39797.52
842,59,30725.14
843,28,35641.67
844,32,30048.43
845,59,34313.01
846,25,31077.73
847,34,37970.77
848,46,32389.03
849,60,31494.14
850,48,37787.68
851,40,37086.72
852,40,39496.14
853,36,36980.19
854,31,33566.27
855,51,39126.98
856,32,30326.5
857,57,35796.55
858,38,30941.12
859,35,38171.93
860,52,30377.18
861,29,36446.12
862,26,39717.51
863,32,35529.39
864,54,36978.97
865,32,32849.26
866,55,33006.83
867,29,35043.53
868,42,35635.09
869,59,35987.81
870,59,35129.61
871,53,39410.65
872,54,38436.92
873,45,38618.19
874,35,38811.27
875,43,37889.23
876,45,38371.58
877,44,36867.55
878,58,31926.61
879,35,30273.07
880,35,36933.89
881,54,30630.68
882,56,32905.93
883,43,36455.58
884,60,34005.05
885,47,32656.87
886,47,31590.05
887,30,35717.3
888,26,36653.65
889,58,31758.86
890,37,36494.57
891,49,38188.01
892,57,31080.45
893,44,36951.54
894,49,37067.09
895,55,37672.83
896,58,34374.33
897,44,32955.35
898,35,36688.39
899,52,36077.85
900,30,31843.82
901,30,38870.38
902,50,36329.21
903,39,33420.58
904,56,39165.92
905,49,39076.98
906,54,30148.74
907,26,37232.77
908,45,35284.03
909,42,36682.94
910,31,37599.42
911,43,34712.51
912,28,39124.84
913,45,37081.93
914,52,36143.13
915,54,34263.05
916,26,35187.25
917,52,39634.15
918,50,33159.24
919,56,36997.41
920,36,31331.06
921,51,37055.36
922,57,36920.27
923,30,37738.51
924,52,38809.27
925,36,35042.12
926,49,34352.13
927,28,32658.41
928,35,31451.99
929,46,36045.62
930,31,30918.89
931,25,32310.05
932,45,30284.88
933,37,31296.88
934,59,38532.62
935,31,38900.76
936,28,33519.84
937,30,35632.64
938,34,39661.24
939,54,33803.31
940,50,31719.56
941,54,30988.33
942,57,30793.62
943,45,36708.06
944,31,38354.21
945,49,35134.34
946,37,33781.89
947,39,34030.49
948,45,36043.73
949,32,32447.44
950,50,39347.73
951,40,33899.84
952,37,33395.63
953,29,37729.93
954,59,31271.75
955,55,31698.76
956,53,37515.37
957,52,33704.51
958,52,38732.52
959,53,34267.5
960,58,33199.65
961,49,34909.44
962,44,36975.02
963,60,30685.07
964,41,37922.08
965,47,33720.75
966,41,31605.62
967,42,33688.55
968,27,30177.72
969,47,37047.96
970,40,39300.31
971,32,38907.8
972,26,34146.17
973,51,35524.19
974,44,36792.02
975,37,34792.28
976,38,38131.44
977,38,32985.67
978,32,33429.92
979,33,37882.05
980,56,33607.65
981,56,37148.27
982,37,38957.53
983,55,38732.34
984,32,30240.45
985,47,34313.35
986,31,35066.01
987,34,30328.29
988,43,31196.5
989,29,39199.3
990,29,32048.4
991,45,39053.32
992,28,34206.55
993,54,35015.02
994,45,37854.11
995,25,33252.92
996,37,34033.02
997,28,32013.42
998,30,39469.83
999,42,39744.43
1000,35,39362.89
1001,47,36733.57
1002,25,34210.67
1003,50,30098.51
1004,25,34219.35
1005,39,32090.68
1006,25,36538.71
1007,45,38675.82
1008,41,32513.49
1009,26,38208.71
1010,37,36119.02
1011,45,34342.6
1012,33,35380.94
1013,56,31710.81
1014,52,39231.76
1015,42,36465.53
1016,30,34539.2
1017,25,36849.6
1018,34,34169.23
1019,49,30403.45
1020,27,37382.24
1021,27,39795.6
1022,30,30175.83
1023,34,30431.81
1024,39,37430.89
1025,27,31068.58
1026,54,32606.85
1027,47,33122.17
1028,54,36115.94
1029,57,39764.3
1030,42,36325.57
1031,57,31120.6
1032,37,31204.04
1033,45,34451.88
1034,31,37420.59
1035,57,38072.92
1036,51,32813.77
1037,25,32822.69
1038,45,37255.47
1039,46,36873.18
1040,50,37815.54
1041,45,32920.05
1042,46,32463.84
1043,26,39902.09
1044,42,38874.28
1045,55,37288.03
1046,26,33634.76
1047,40,31373.34
1048,26,36238.51
1049,59,38666.28
1050,34,39764.33
1051,35,30120.19
1052,51,34275.84
1053,26,32924.02
1054,25,33815.4
1055,56,38697.17
1056,49,35592.62
1057,49,33549.08
1058,35,32262.72
1059,28,30602.36
1060,54,31149.31
1061,38,31138.76
1062,37,35362.89
1063,33,33471.13
1064,26,33283.01
1065,36,36660.92
1066,58,38588.89
1067,41,31360.16
1068,27,39624.66
1069,35,35395.8
1070,34,33554.28
1071,28,38355.08
1072,42,38637.6
1073,37,38385.84
1074,42,31677.03
1075,37,33563.68
1076,27,34910.48
1077,31,31059.5
1078,30,30726.03
1079,47,35691.02
1080,33,37514.46
1081,60,33883.19
1082,46,37930.06
1083,54,31226.56
1084,44,38576.41
1085,45,30906.19
1086,30,36509.73
1087,48,39565.23
1088,55,36655.05
1089,29,39476.44
1090,47,39737.43
1091,39,33174.97
1092,32,30191.8
1093,40,37251.94
1094,52,35610.84
1095,25,35776.58
1096,33,39515.41
1097,50,31814.32
1098,43,35097.41
1099,43,36262.13
1100,26,32122.58
1101,42,33678.31
1102,36,34714.29
1103,58,33645.1
1104,44,30604.95
1105,31,30065.08
1106,41,32622.77
1107,30,30612.83
1108,58,38543.96
1109,59,36123.5
1110,50,32859.49
1111,41,36393.74
1112,42,32055.57
1113,37,30013.49
1114,60,36954.47
1115,25,33161.55
1116,40,34490.43
1117,58,39676.55
1118,54,37974.7
1119,35,38547.04
1120,52,34273.97
1121,56,30889.82
1122,27,33489.09
1123,45,35055.25
1124,39,37883.1
1125,43,36019.45
1126,57,32612.43
1127,27,37900.67
1128,60,32769.23
1129,40,37114.04
1130,56,34864.32
1131,60,35839.34
1132,31,38682.05
1133,39,35209.86
1134,27,37446.87
1135,38,32078.55
1136,48,35913.79
1137,54,39800.08
1138,60,38960.63
1139,53,32699.08
1140,33,36024.4
1141,48,30187.29
1142,54,33797.09
1143,28,30710.27
1144,25,35668.15
1145,26,32271.51
1146,54,38635.36
1147,41,31133.33
1148,49,32821.06
1149,32,37315.85
1150,32,30847.49
1151,42,30223.67
1152,29,33710.87
1153,57,38460.17
1154,42,39812.94
1155,30,31400.63
1156,48,34740.46
1157,32,31952.34
1158,47,37844.37
1159,55,35980.98
1160,45,35518.53
1161,54,30448.54
1162,55,32187.31
1163,42,34461.4
1164,58,34902.47
1165,25,34706.52
1166,26,31292.88
1167,29,33266.74
1168,52,38171.35
1169,44,32819.02
1170,33,39768.42
1171,41,38517.96
1172,51,39914.46
1173,54,39138.64
1174,27,34004.28
1175,47,35004.17
1176,32,38400.74
1177,60,36544.44
1178,52,31651.16
1179,36,39289.19
1180,40,33629.06
1181,39,38459.64
1182,55,34659.71
1183,34,33814.59
1184,60,35467.98
1185,32,35865.46
1186,57,35513.12
1187,25,31842.17
1188,32,32880.74
1189,34,38890.39
1190,43,37211.58
1191,58,35962.4
1192,27,38643.46
1193,31,36154.47
1194,59,34030.67
1195,53,33063.0
1196,55,32315.39
1197,59,30016.94
1198,33,32156.55
1199,37,35614.61
1200,48,34922.24
1201,60,39153.6
1202,49,31617.34
1203,28,34877.04
1204,38,39586.84
1205,56,30653.65
1206,46,39410.51
1207,57,35808.94
1208,44,39791.96
1209,36,35398.66
1210,47,31176.04
1211,54,31794.54
1212,48,31759.07
1213,55,36927.48
1214,33,37617.81
1215,45,38545.38
1216,29,30674.69
1217,29,35812.55
1218,32,33210.07
1219,58,38905.83
1220,42,30945.35
1221,48,34145.6
1222,37,37119.7
1223,55,35123.66
1224,48,37756.61
1225,34,30409.09
1226,32,34004.86
1227,58,37795.39
1228,54,31017.72
1229,25,39780.37
1230,30,31908.5
1231,28,37642.0
1232,54,38428.62
1233,28,30471.01
1234,34,37493.44
1235,60,38090.57
1236,47,39563.64
1237,39,35187.97
1238,30,33754.85
1239,36,38557.17
1240,40,36677.29
1241,38,31943.39
1242,40,37004.75
1243,45,37595.29
1244,40,35040.91
1245,31,33781.42
1246,40,36408.4
1247,36,34352.74
1248,37,38521.33
1249,32,39124.69
1250,46,38636.68
1251,35,36191.29
1252,41,37859.98
1253,55,38379.44
1254,26,39306.51
1255,60,31669.13
1256,32,33886.95
1257,41,36614.04
1258,32,30510.25
1259,58,33624.4
1260,32,33253.65
1261,58,35346.01
1262,42,33693.89
1263,45,36983.64
1264,54,35815.57
1265,44,35485.9
1266,28,31944.96
1267,58,33923.04
1268,48,38078.05
1269,55,35336.67
1270,43,37735.43
1271,36,34907.67
1272,48,36774.1
1273,35,35440.54
1274,28,33875.54
1275,30,35937.69
1276,28,32378.86
1277,27,36040.75
1278,38,37090.51
1279,28,35267.4
1280,50,38814.76
1281,31,37936.78
1282,26,35478.1
1283,56,38140.28
1284,44,33140.37
1285,56,36555.89
1286,56,38538.66
1287,36,37263.89
1288,44,34812.01
1289,46,35152.87
1290,51,38360.57
1291,57,34809.16
1292,28,39915.47
1293,30,36547.1
1294,33,36114.07
1295,47,30513.65
1296,59,36109.43
1297,29,38233.47
1298,27,30503.39
1299,52,36251.9
1300,49,34740.32
1301,40,32962.85
1302,49,30158.98
1303,32,32485.41
1304,54,38187.95
1305,30,39531.22
1306,31,38842.44
1307,54,38309.88
1308,53,35736.83
1309,27,30453.89
1310,57,32351.68
1311,27,30415.21
1312,35,30322.64
1313,53,38666.03
1314,34,30665.07
1315,30,32562.78
1316,42,37073.77
1317,57,32652.65
1318,42,33076.54
1319,56,35425.72
1320,34,32745.61
1321,58,36287.42
1322,36,35901.59
1323,44,35563.29
1324,28,38172.16
1325,26,37003.29
1326,37,39218.22
1327,40,39290.02
1328,38,33189.1
1329,33,33694.78
1330,38,39911.48
1331,51,34579.43
1332,58,35833.55
1333,53,35270.72
1334,33,37523.88
1335,53,35912.97
1336,58,37572.82
1337,58,34153.61
1338,26,34542.02
1339,28,37893.64
1340,54,34640.83
1341,52,32703.13
1342,29,31355.45
1343,37,39650.06
1344,43,31444.06
1345,27,31631.1
1346,53,38356.19
1347,40,34410.94
1348,58,33631.63
1349,50,31226.51
1350,32,39577.56
1351,32,30066.22
1352,58,30156.3
1353,37,37123.06
1354,30,39048.04
1355,45,32562.61
1356,39,38794.09
1357,34,33585.05
1358,37,37504.18
1359,31,37816.09
1360,48,30812.67
1361,42,37345.31
1362,35,34034.01
1363,35,31288.68
1364,25,38556.21
1365,57,33987.87
1366,48,37036.42
1367,39,39664.92
1368,45,36493.53
1369,44,31952.09
1370,37,38563.43
1371,58,34479.31
1372,60,33645.44
1373,50,36830.59
1374,40,32158.19
1375,48,31246.47
1376,38,35717.93
1377,59,38093.53
1378,51,36298.61
1379,60,36055.42
1380,42,37309.31
1381,49,30063.51
1382,53,39302.35
1383,60,35429.94
1384,35,38349.29
1385,47,32440.22
1386,46,31613.59
1387,48,35969.77
1388,45,33343.64
1389,37,38796.34
1390,45,31981.89
1391,42,31967.28
1392,38,34810.74
1393,32,33419.32
1394,56,31204.3
1395,51,36549.03
1396,28,37133.52
1397,57,32189.26
1398,27,33489.91
1399,45,36593.51
1400,40,30622.95
1401,25,36553.11
1402,55,37572.4
1403,49,35852.14
1404,44,36713.48
1405,38,30666.39
1406,42,32187.96
1407,42,32128.44
1408,29,38652.55
1409,56,32047.38
1410,60,34545.84
1411,57,39665.41
1412,54,35077.12
1413,45,39729.95
1414,56,34758.86
1415,34,37704.58
1416,52,33966.57
1417,57,34259.33
1418,35,30603.7
1419,25,30362.05
1420,42,38133.1
1421,33,34310.8
1422,39,37027.29
1423,41,38587.56
1424,27,32839.53
1425,32,35521.42
1426,36,31606.37
1427,29,36835.63
1428,49,38153.36
1429,42,36023.85
1430,31,38532.07
1431,51,39303.63
1432,56,31892.81
1433,45,33843.14
1434,56,31069.51
1435,58,36101.54
1436,26,37151.55
1437,33,32321.98
1438,33,36904.61
1439,46,32818.61
1440,44,37709.67
1441,54,34506.62
1442,26,35411.95
1443,29,32070.63
1444,58,37408.33
1445,26,30574.9
1446,43,33445.39
1447,36,30513.01
1448,31,39493.08
1449,34,33155.94
1450,29,39778.85
1451,53,39467.36
1452,48,34110.02
1453,36,36226.63
1454,47,38843.14
1455,51,35570.98
1456,60,36745.77
1457,26,35673.3
1458,58,38321.54
1459,57,31631.29
1460,28,31079.48
